Sesto-I-Maggio 0
Sesto-Rondo 1.1
Sesto-Marelli 2.2
Villa-San-Giovanni 2.9
Precotto 3.5
Gorla 4.1
Turro 4.8
Rovereto 5.3
Pasteur 5.9
Loreto 6.5
Lima 7.2
Porta-Venezia 8
Palestro 8.4
San-Babila 9.1
Duomo 9.7
Cordusio 10
Cairoli 10.5
Cadorna 11
Conciliazione 11.7
Pagano 12.2
Wagner 12.6
De-Angeli 13
Gambara 13.6
Bande-Nere 14.3
Primaticcio 14.8
Inganni 15.4
Bisceglie 16.2
