San-Siro-Stadio 0
San-Siro-Ippodromo 0.8
Segesta 1.5
Lotto 2.1
Portello 2.7
Tre-Torri 3.3
Domodossola 3.8
Gerusalemme 4.4
Cenisio 4.9
Monumentale 5.7
Garibaldi 6.1
Isola 6.7
Zara 7.3
Marche 7.7
Istria 8.3
Ca-Granda 9
Bicocca 9.9
Ponale 10.8
Bignami 11.3
